"","DATAFLOW","LAST.UPDATE","freq","frequenc","deg_urb","sex","age","unit","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG","CONF_STATUS"
"2428","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","EE",2019,0,"u",NA
"2429","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","EL",2014,0.3,"",NA
"2430","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","EL",2019,0,"",NA
"2431","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","ES",2014,0.4,"",NA
"2432","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","ES",2019,0,"",NA
"2433","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","EU27_2020",2019,0.2,"",NA
"2434","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","EU28",2014,0.3,"e",NA
"2435","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","FI",2014,0,"",NA
"2436","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","FR",2019,0.7,"",NA
"2437","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","HR",2014,0,"u",NA
"2438","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","HR",2019,NA,"u",NA
"2439","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","HU",2014,0,"",NA
"2440","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","HU",2019,0,"u",NA
"2441","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","IE",2014,0,"u",NA
"2442","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","IE",2019,2.2,"u",NA
"2443","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","IS",2014,0,"",NA
"2444","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","IS",2019,0,"",NA
"2445","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","IT",2014,0.4,"",NA
"2446","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","IT",2019,1.3,"",NA
"2447","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","LT",2014,0,"",NA
"2448","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","LT",2019,0,"u",NA
"2449","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","LU",2014,0,"u",NA
